

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.040  000.040: --- NVIM STARTING ---
000.516  000.476: event init
000.784  000.268: early init
000.955  000.171: locale set
001.057  000.102: init first window
002.062  001.005: inits 1
002.136  000.074: window checked
002.317  000.182: parsing arguments
003.776  000.184  000.184: require('vim.shared')
004.583  000.158  000.158: require('vim._options')
004.594  000.803  000.646: require('vim._editor')
004.599  001.081  000.094: require('vim._init_packages')
004.608  001.210: init lua interpreter
004.866  000.257: expanding arguments
004.972  000.106: inits 2
006.179  001.207: init highlight
006.186  000.007: waiting for UI
006.786  000.600: done waiting for UI
006.823  000.037: clear screen
007.375  000.552: init default mappings & autocommands
007.664  000.289: --cmd commands
042.615  000.194  000.194: sourcing /nix/store/7kxaldfcymzjm2sw5si74gzb1nhbynz2-neovim-unwrapped-0.9.4/share/nvim/runtime/ftplugin.vim
048.663  000.124  000.124: sourcing /nix/store/7kxaldfcymzjm2sw5si74gzb1nhbynz2-neovim-unwrapped-0.9.4/share/nvim/runtime/indent.vim
051.851  000.874  000.874: require('catppuccin')
052.504  000.228  000.228: require('catppuccin.lib.hashing')
053.130  000.159  000.159: require('vim.loader')
053.537  000.108  000.108: require('vim.fs')
058.176  004.796  004.688: sourcing /nix/store/zyzsab8iqp5ff1scbmhhq3zbvchkm4g8-vim-pack-dir/pack/myNeovimPackages/start/catppuccin-nvim/colors/catppuccin.vim
072.994  000.462  000.462: require('crates.time')
073.023  001.062  000.600: require('crates.types')
073.037  001.422  000.360: require('crates.semver')
078.549  005.208  005.208: require('crates.config')
079.192  000.628  000.628: require('crates.toml')
079.209  006.165  000.329: require('crates.state')
079.229  007.959  000.371: require('crates.edit')
079.701  000.466  000.466: require('crates.util')
079.724  008.824  000.399: require('crates.actions')
080.065  000.335  000.335: require('crates.async')
087.052  000.566  000.566: require('plenary.functional')
087.086  006.458  005.892: require('plenary.job')
087.157  006.766  000.308: require('crates.api')
087.509  000.345  000.345: require('crates.diagnostic')
087.728  000.206  000.206: require('crates.ui')
087.746  007.667  000.351: require('crates.core')
088.516  000.765  000.765: require('crates.highlight')
089.656  000.616  000.616: require('crates.popup.common')
090.272  000.597  000.597: require('crates.popup.crate')
090.856  000.567  000.567: require('crates.popup.dependencies')
091.446  000.576  000.576: require('crates.popup.features')
091.833  000.375  000.375: require('crates.popup.versions')
091.874  003.339  000.609: require('crates.popup')
091.902  033.623  012.693: require('crates')
114.847  000.684  000.684: require('which-key.util')
114.872  001.110  000.426: require('which-key.tree')
115.656  000.776  000.776: require('which-key.config')
115.695  002.379  000.493: require('which-key.keys')
115.710  017.536  015.157: require('which-key')
117.244  000.396  000.396: require('colorizer.color')
118.629  000.075  000.075: require('ffi')
119.328  001.759  001.684: require('colorizer.trie')
